INFO : 2018-01-29 23:54:09,243 : Searching files naming sales
DEBUG : 2018-01-29 23:56:07,838 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Fundacion\sales-7557.one (El 19-02-2017).one  ::::: SIZE::::: 9968
DEBUG : 2018-01-29 23:56:13,264 : FILE::: d:/MisDocs\Virtual Machines\RFALCONIH-DV02\caches\GuestAppsCache\appData\9c4d713e22689de7523e05efb2ca1150.appicon  ::::: SIZE::::: 9968
INFO : 2018-01-29 23:57:03,719 : Searching files naming sales
DEBUG : 2018-01-29 23:57:06,707 : FILE::: d:/mio\www\mixtica\wp-content\themes\mixtica\page-templates\tpl_sucursales.php  
DEBUG : 2018-01-29 23:57:07,828 : FILE::: d:/mio\www\rac\app\design\adminhtml\default\default\layout\sales.xml  
DEBUG : 2018-01-29 23:57:07,859 : FILE::: d:/mio\www\rac\app\design\adminhtml\default\default\template\customer\tab\view\sales.phtml  
DEBUG : 2018-01-29 23:57:07,890 : FILE::: d:/mio\www\rac\app\design\adminhtml\default\default\template\promo\salesrulejs.phtml  
DEBUG : 2018-01-29 23:57:07,937 : FILE::: d:/mio\www\rac\app\design\frontend\base\default\layout\sales.xml  
DEBUG : 2018-01-29 23:57:08,015 : FILE::: d:/mio\www\rac\app\design\frontend\default\iphone\layout\sales.xml  
DEBUG : 2018-01-29 23:57:08,046 : FILE::: d:/mio\www\rac\app\design\frontend\default\modern\layout\sales.xml  
DEBUG : 2018-01-29 23:57:08,187 : FILE::: d:/mio\www\rac\js\mage\adminhtml\sales.js  
DEBUG : 2018-01-29 23:57:09,365 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7232.one (El 21-03-2017).one  
DEBUG : 2018-01-29 23:57:09,365 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7398.one (El 28-02-2017).one  
DEBUG : 2018-01-29 23:57:09,365 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Dailys or Tasks\sales-7557.one (El 21-03-2017).one  
DEBUG : 2018-01-29 23:57:09,365 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Fundacion\sales-7232.one (El 19-02-2017).one  
DEBUG : 2018-01-29 23:57:09,365 : FILE::: d:/MisDocs\Blocs de notas de OneNote\OneNote\Copia de seguridad\14.0\Copia de seguridad\Fundacion\sales-7557.one (El 19-02-2017).one  
DEBUG : 2018-01-29 23:57:16,146 : FILE::: d:/respaldo\xampp\htdocs\mixtica\wp-content\themes\mixtica\page-templates\tpl_sucursales.php  
INFO : 2018-01-29 23:57:16,632 : Searching folders naming one
DEBUG : 2018-01-29 23:57:16,695 : FOLDER::: d:/Fotos\mangas\l-dk\ch0-moeros-kei-seifuku-danshi-oneshot-bes 
DEBUG : 2018-01-29 23:57:16,726 : FOLDER::: d:/Fotos\mangas\LEIDOS\ane-doki-ane-doki\vol2-ch12-la-cosa-que-ponen-esas-letras-juntas-bes 
DEBUG : 2018-01-29 23:57:16,867 : FOLDER::: d:/mio\www\arteycemento\wp-content\plugins\facebook-twitter-google-plus-one-social-share-buttons-for-wordpress 
DEBUG : 2018-01-29 23:57:16,973 : FOLDER::: d:/mio\www\cepodo\tinymce\jscripts\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:57:17,082 : FOLDER::: d:/mio\www\rac\app\code\community\Phoenix\Moneybookers 
DEBUG : 2018-01-29 23:57:17,082 : FOLDER::: d:/mio\www\rac\app\code\community\Phoenix\Moneybookers\sql\moneybookers_setup 
DEBUG : 2018-01-29 23:57:17,145 : FOLDER::: d:/mio\www\rac\app\code\core\Mage\Adminhtml\Block\Report\Shopcart\Abandoned 
DEBUG : 2018-01-29 23:57:17,192 : FOLDER::: d:/mio\www\rac\app\code\core\Mage\Adminhtml\Model\System\Config\Clone 
DEBUG : 2018-01-29 23:57:17,635 : FOLDER::: d:/mio\www\rac\app\design\adminhtml\default\default\template\moneybookers 
DEBUG : 2018-01-29 23:57:17,697 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\moneybookers 
DEBUG : 2018-01-29 23:57:17,713 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\checkout\onepage 
DEBUG : 2018-01-29 23:57:17,729 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\downloadable\checkout\onepage 
DEBUG : 2018-01-29 23:57:17,729 : FOLDER::: d:/mio\www\rac\app\design\frontend\base\default\template\persistent\checkout\onepage 
DEBUG : 2018-01-29 23:57:17,744 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone 
DEBUG : 2018-01-29 23:57:17,760 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone\template\checkout\onepage 
DEBUG : 2018-01-29 23:57:17,760 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone\template\downloadable\checkout\onepage 
DEBUG : 2018-01-29 23:57:17,760 : FOLDER::: d:/mio\www\rac\app\design\frontend\default\iphone\template\persistent\checkout\onepage 
DEBUG : 2018-01-29 23:57:17,822 : FOLDER::: d:/mio\www\rac\js\tiny_mce\plugins\noneditable 
DEBUG : 2018-01-29 23:57:17,979 : FOLDER::: d:/mio\www\rac\skin\adminhtml\default\default\images\moneybookers 
DEBUG : 2018-01-29 23:57:17,979 : FOLDER::: d:/mio\www\rac\skin\frontend\base\default\images\moneybookers 
DEBUG : 2018-01-29 23:57:17,979 : FOLDER::: d:/mio\www\rac\skin\frontend\default\iphone 
DEBUG : 2018-01-29 23:57:18,010 : FOLDER::: d:/mio\www\tramibol\wp-content\plugins\facebook-twitter-google-plus-one-social-share-buttons-for-wordpress 
DEBUG : 2018-01-29 23:57:18,088 : FOLDER::: d:/MisDocs\andy proyecto\pds agil\programacionextrema.org-articulos-designdead.es_files 
DEBUG : 2018-01-29 23:57:18,260 : FOLDER::: d:/MisDocs\Java Master Application Developer\4. Construyendo Aplicaciones Distribuidas con Web Services y EJB 
DEBUG : 2018-01-29 23:57:18,260 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Alumno\02 Componentes Struts2 
DEBUG : 2018-01-29 23:57:18,260 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Alumno\05 Aplicaciones JSF 
DEBUG : 2018-01-29 23:57:18,275 : FOLDER::: d:/MisDocs\Java Master Application Developer\1. Construyendo Capa Modelo Vista Controlador (MVC) con Struts2, JSF y PrimeFaces\Instructor\02 Componentes Struts2 
